Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0837A","DsKudowaSzkoMOB","Kudowa-Zdrój, ul. Szkolna ","SPO_PL0837A_6001_001","PM2.5","16.243760","50.438360","370.000000","m","urban","background","06/01/2024 00:00:00","31/12/2024 00:00:00","SAM_PL0837A_6001_001","3.5","m","","","","","","","Other sectors","","","0","","","","","","detached","hilly","","","","","","","","SPP_PL0837A_6001_001","06/01/2024 00:00:00","31/12/2024 00:00:00","automatic","nephelometry","","undetermined","","","","","","inprogress","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_DS_AQ","Dolnośląska Sieć Monitoringu Powietrza","UTC+01","PL0851A","DsLubanLudowMOB","Lubań, ul. Ludowa","SPO_PL0851A_6001_001","PM2.5","15.298190","51.120090","210.000000","m","urban","background","03/01/2025 01:00:00","","SAM_PL0851A_6001_001","3.5","m","","","","","","","Other sectors","","","0","","","","","","open","hilly","","","","","","","","SPP_PL0851A_6001_001","03/01/2025 01:00:00","","automatic","nephelometry","","undetermined","","","","","","inprogress","","2.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_KP_AQ","Kujawsko-Pomorska Sieć Monitoringu Powietrza","UTC+01","PL0064A","KpBydWarszaw","Bydgoszcz, ul. Warszawska","SPO_PL0064A_6001_001","PM2.5","17.995710","53.134080","49.000000","m","urban","background","01/02/2007 00:00:00","","SAM_PL0064A_6001_001","3.5","m","","","","","","","Other sectors","13.1","t.km-2.year-1","0","","","","","Bydgoszcz","canyon","plane","60.0","","0.00","12.0","15.0","40","574","SPP_PL0064A_6001_001","01/02/2007 00:00:00","","automatic","TEOM-FDMS","","FIDAS200","","","","","","yes","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","1.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_KP_AQ","Kujawsko-Pomorska Sieć Monitoringu Powietrza","UTC+01","PL0071A","KpToruDziewu","Toruń, ul. Dziewulskiego","SPO_PL0071A_6001_001","PM2.5","18.666100","53.028650","64.000000","m","urban","background","03/06/2009 00:00:00","03/01/2020 00:00:00","SAM_PL0071A_6001_001","3.3","m","","","50.0","m","","","Other sectors","","","0","","","","","Toruń","detached","plane","493.0","","0.01","","","70","32300","SPP_PL0071A_6001_001","03/06/2009 00:00:00","03/01/2020 00:00:00","automatic","BETA","","BAM1020","","","","","","inprogress","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","1.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_KP_AQ","Kujawsko-Pomorska Sieć Monitoringu Powietrza","UTC+01","PL0071A","KpToruDziewu","Toruń, ul. Dziewulskiego","SPO_PL0071A_6001_002","PM2.5","18.666100","53.028650","64.000000","m","urban","background","20/04/2010 00:00:00","","SAM_PL0071A_6001_002","1.5","m","","","","","","","Other sectors","0.0","t.km-2.year-1","0","","","","","Toruń","detached","plane","493.0","","0.01","","","70","32300","SPP_PL0071A_6001_002","20/04/2010 00:00:00","","active","","","","","LVSauto2.3","","gravi","","ref","","1.00","ug.m-3","QA/QC procedures","","1","day","1","day","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_KP_AQ","Kujawsko-Pomorska Sieć Monitoringu Powietrza","UTC+01","PL0072A","KpToruKaszow","Toruń, ul. Przy Kaszowniku","SPO_PL0072A_6001_001","PM2.5","18.612810","53.017630","59.000000","m","urban","traffic","26/11/2019 00:00:00","","SAM_PL0072A_6001_001","3.5","m","85.0","m","15.0","m","","","Transport","0.4","t.km-2.year-1","0","","","","","Toruń","detached","plane","35.0","","0.01","","","50","27988","SPP_PL0072A_6001_001","26/11/2019 00:00:00","","automatic","OPC-CMC","","FIDAS200","","","","","","yes","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","1.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_KP_AQ","Kujawsko-Pomorska Sieć Monitoringu Powietrza","UTC+01","PL0075A","KpWloclSiels","Włocławek Sielska ""DMD""","SPO_PL0075A_6001_001","PM2.5","19.036390","52.664720","57.000000","m","suburban","background","01/09/2010 00:00:00","31/03/2017 00:00:00","SAM_PL0075A_6001_001","1.5","m","","","","","","","Other sectors","","","0","","","","","Włocławek","detached","plane","","","","","","","","SPP_PL0075A_6001_001","01/09/2010 00:00:00","31/03/2017 00:00:00","active","","","","","LVSauto2.3","","gravi","","ref","","0.02","ug.m-3","QA/QC procedures","","24","hour","24","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_KP_AQ","Kujawsko-Pomorska Sieć Monitoringu Powietrza","UTC+01","PL0077A","KpZielBoryTu","Zielonka, Bory Tucholskie","SPO_PL0077A_6001_001","PM2.5","17.934020","53.662120","121.000000","m","rural","background","01/01/2010 00:00:00","","SAM_PL0077A_6001_001","1.7","m","","","","","","","Secondary aerosols","0.1","t.km-2.year-1","0","","","","","","detached","plane","","","","","","","","SPP_PL0077A_6001_001","01/01/2010 00:00:00","","active","","","","","HVSauto30","","gravi","","ref","","0.50","ug.m-3","QA/QC procedures","","1","day","1","day","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_KP_AQ","Kujawsko-Pomorska Sieć Monitoringu Powietrza","UTC+01","PL0205A","KpWloclOkrze","Włocławek, ul. Okrzei","SPO_PL0205A_6001_001","PM2.5","19.059310","52.658470","59.000000","m","urban","traffic","01/05/2018 00:00:00","","SAM_PL0205A_6001_001","3.5","m","16.0","m","12.0","m","","","Transport","3.0","t.km-2.year-1","0","","","","","Włocławek","canyon","plane","140.0","","0.16","13.0","11.0","50","26562","SPP_PL0205A_6001_001","01/05/2018 00:00:00","","automatic","OPC-CMC","","GRIMM-EDM180","","","","","","yes","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","1.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
"Poland","PL.CIEP.AQ","2025","NET_PL_KP_AQ","Kujawsko-Pomorska Sieć Monitoringu Powietrza","UTC+01","PL0252A","KpBydPlPozna","Bydgoszcz, pl. Poznański","SPO_PL0252A_6001_001","PM2.5","17.987910","53.121760","47.000000","m","urban","traffic","18/06/2012 00:00:00","","SAM_PL0252A_6001_001","3.5","m","40.0","m","15.0","m","","","Transport","8.1","t.km-2.year-1","0","","","","","Bydgoszcz","detached","plane","50.0","","0.15","","","55","35500","SPP_PL0252A_6001_001","18/06/2012 00:00:00","","automatic","BETA","","enviroMP2.5M","","","","","","yes","https://powietrze.gios.gov.pl/pjp/content/national_reference_laboratory_calibration_documents","1.00","ug.m-3","QA/QC procedures","","1","hour","1","hour","http://cdr.eionet.europa.eu/pl/eu/aqd/d/envatpd9a/PL_REP_D_2026_PRELIM_v1.xml","11/12/2025 14:01:51"
